,Neighbourhood,Latitude,Longitude
0,Ada Ciganlija,44.78734000000003,20.416270000000054
1,Azbestno Naselje,44.81310000000008,20.46329000000003
2,Banovo Brdo,44.77727998889152,20.414209995528005
3,Bele Vode,44.751906,20.402559000000007
4,Careva Cuprija,44.78642000000008,20.43195000000003
5,Cerak,44.747696195809056,20.41911244074415
6,Cerak II,44.747696195809056,20.41911244074415
7,Cerak Vinogradi,44.747696195809056,20.41911244074415
8,Cukarica,44.77824000000004,20.415050000000065
9,Cukaricka Padina,44.77744005496564,20.40658004053894
10,Filmski Grad,44.75890000000004,20.433380000000056
11,Golf Naselje,44.77097995167091,20.427690043857115
12,Julino Brdo,44.76665700000001,20.41078500000002
13,Kosutnjak,44.76515000000006,20.42322000000007
14,Makis,44.78671000000003,20.467270000000042
15,Novi Zeleznik,44.81310000000008,20.46329000000003
16,Orlovaca,44.81310000000008,20.46329000000003
17,Repiste,44.81310000000008,20.46329000000003
18,Rupcine,44.81310000000008,20.46329000000003
19,Stari Cerak,44.747696195809056,20.41911244074415
20,Suncana Padina,44.81310000000008,20.46329000000003
21,Zarkovo,44.75498693243665,20.40993849745542
22,Zarkovo Selo,44.75498693243665,20.40993849745542
23,Zeleznik,44.81310000000008,20.46329000000003
24,Zeleznik Selo,44.81310000000008,20.46329000000003
25,Ada Medjica,44.79134771904464,20.387976508395486
26,Airport City Belgrade,44.81310000000008,20.46329000000003
27,Bezanija,44.80936392218181,20.37637864753578
28,Bezanijska Kosa,44.816958000000014,20.391761249999995
29,Blokovi,44.81310000000008,20.46329000000003
30,Delta City,44.80480000000006,20.404990000000055
31,Dr Ivan Ribar,44.79548853995508,20.373105568035946
32,Fontana,44.80537000000004,20.475340000000074
33,Ledine,44.80313008050089,20.34508002553525
34,Mala Ciganlija,44.78870057888568,20.419575853186966
35,Novi Beograd,44.82373000000007,20.41414000000003
36,Paviljoni,44.81310000000008,20.46329000000003
37,Savograd,44.81310000000008,20.46329000000003
38,Savski Nasip,44.802561037496694,20.408993136964817
39,Staro Sajmiste,44.813487218305866,20.441386080550018
40,Studentski Grad,44.82517000000007,20.397650000000056
41,Tosin Bunar,44.81750000000005,20.39522000000005
42,Univerzitetsko Selo,44.82701001832191,20.413439941139295
43,Usce,44.814510020629605,20.436480015580592
44,Ada Huja,44.815655839124375,20.524039422273624
45,Blok Braca Maric,44.78492597253693,20.52233943893746
46,Blok Branko Momirov,44.81310000000008,20.46329000000003
47,Blok Grga Andrijanovic,44.843350000000044,20.415020000000027
48,Blok Sava Kovacevic,44.79394636596789,20.527555517672663
49,Blok Sutjeska,44.8405155,20.380974750000018
50,Blok Zaga Malivuk,44.81310000000008,20.46329000000003
51,Bogoslovija,44.81528828581475,20.48994553205405
52,Calije,44.805025573530195,20.52024117657397
53,Caplja,44.81310000000008,20.46329000000003
54,Deponija,44.81310000000008,20.46329000000003
55,Dunav City,44.81310000000008,20.46329000000003
56,Dunavski Venac,44.827335957647165,20.44629539575988
57,Hadzipopovac,44.81123000000008,20.482140000000072
58,Karaburma,44.80796003332558,20.524410066074168
59,Karaburma II,44.81509500000001,20.50634025
60,Karaburma-Dunav,44.81391000000008,20.517030000000034
61,Kotez,44.78532998167817,20.517409963356346
62,Kozara,44.7852645,20.462251500000015
63,Krnjaca,44.81310000000008,20.46329000000003
64,Lesce,44.811540000000036,20.544130000000052
65,Mika Alas,44.81310000000008,20.46329000000003
66,Nova Karaburma,44.81509500000001,20.50634025
67,Paliula,44.811180000000036,20.47897000000006
68,Partizanski Blok,44.771444184211354,20.535666108771828
69,Profesorska Kolonija,44.75135758436477,20.478126964631603
70,Reva,44.81310000000008,20.46329000000003
71,Rospi cuprija,44.81607464732573,20.52139712292358
72,Stara Karaburma,44.816040000000044,20.501430000000028
73,Tasmajdan,44.807600000000036,20.473750000000052
74,Viline Vode,44.82046802003421,20.477142949082108
75,Vilingrad,44.81310000000008,20.46329000000003
76,Visnjica,44.81487000000004,20.470170000000053
77,Visnjicka Banja,44.817084201244334,20.54173057474099
78,Visnjicko Polje,44.817689606449605,20.52038579934256
79,Jelezovac,44.71400877739385,20.46254215754175
80,Kanarevo Brdo,44.75583155968134,20.458252791862332
81,Kijevo,44.72585394826967,20.42946267672536
82,Knezevac,44.73352236519999,20.437821282585833
83,Labudovo Brdo,44.72571000000005,20.428330000000074
84,Miljakovac,44.74732051294229,20.450566122688873
85,Miljakovac I,44.74732051294229,20.450566122688873
86,Miljakovac II,44.74732051294229,20.450566122688873
87,Miljakovac III,44.74732051294229,20.450566122688873
88,Petlovo Brdo,44.72189993349358,20.423164096955134
89,Pionirski Grad,44.75888000000003,20.439940000000036
90,Rakovica,44.74324000000007,20.445140000000038
91,Resnik,44.71169999610489,20.46162996335632
92,Skojevsko Naselje,44.81310000000008,20.46329000000003
93,Strazevica,44.72068480332387,20.45089691828124
94,Suncani Breg,44.81310000000008,20.46329000000003
95,Vidikovac,44.74458994503445,20.426620040538936
96,Vidikovacka Padina,44.74254952649616,20.419476428420776
97,Bara Venecija,44.81310000000008,20.46329000000003
98,Dedinje,44.77541991949923,20.45859999942314
99,Diplomatska Kolonija,44.77802075371819,20.463125629472824
100,Gospodarska Mehana,44.845303384290126,20.41311172312089
101,Jatagan Mala,44.81310000000008,20.46329000000003
102,Karadjordjev park,44.797480000000064,20.469810000000052
103,Lisicji Potok,44.74749437188546,20.504919590111395
104,Mostarska Petlja,44.8508181805254,20.382539996436787
105,Prokop,44.81310000000008,20.46329000000003
106,Savamala,44.808739941139315,20.457190018898807
107,Senjak,44.790871499999994,20.43833175000001
108,Stadion,44.77569006607412,20.49000995830736
109,Topcider,44.77564153488214,20.436239730643297
110,Topcidersko Brdo,44.77794377053299,20.43852214494298
111,Zapadni Vracar,44.80135000000007,20.475730000000055
112,Zeleni Venac,44.814270276599295,20.457607070903606
113,Andricev Venac,44.809890045590585,20.463672638299904
114,Dorcol,44.82505007328748,20.457070080500866
115,Jalija,44.81310000000008,20.46329000000003
116,Kalemegdan,44.82684727430743,20.454891836641373
117,Kopitareva Gradina,44.815920015749874,20.46879027952519
118,Kosancicev Venac,44.816770960339795,20.451248376264743
119,London,44.80824000000007,20.463230000000067
120,Skadarlija,44.81932006217901,20.46644007718265
121,Stari Grad,44.81310000000008,20.46329000000003
122,Studentski Trg,44.81883997056971,20.458790033325563
123,Terazije,44.81324873935441,20.460705152068527
124,Terazijska Terasa,44.81421690195578,20.45971128915401
125,Trg Nikole Pasica,44.81225072327144,20.46359291509285
126,Trg Republike,44.816138656415866,20.460943900848182
127,Autokomanda,44.79101759074887,20.467246403103776
128,Banjica,44.75717000000003,20.477089952247844
129,Banjica II,44.75943853368563,20.473044891905438
130,Brace Jerkovic (II and III),44.76595695629917,20.491401521908603
131,Dusanovac,44.782478917807616,20.489854552480498
132,Jajinci,44.781990043857135,20.46741005886077
133,Kumodraz,44.73903004443405,20.507439996104917
134,Kumodraz I,44.73903004443405,20.507439996104917
135,Kumodraz II,44.73903004443405,20.507439996104917
136,Lekino Brdo,44.788760000000025,20.484090000000037
137,Mala Utrina,44.81310000000008,20.46329000000003
138,Marinkova Bara,44.759230033325544,20.416350047752267
139,"Medakovic (I, II and III)",44.81310000000008,20.46329000000003
140,Pasino Brdo,44.81310000000008,20.46329000000003
141,Selo Rakovica,44.74324000000007,20.445140000000038
142,Siva Stena,44.77638453978985,20.487043993065832
143,Sumice,44.78483823887229,20.48415517893207
144,Torlak,44.81310000000008,20.46329000000003
145,Trosarina,44.81310000000008,20.46329000000003
146,Vozdovac,44.786320000000046,20.48037000000005
147,Cvetni Trg,44.80496000000005,20.466770000000054
148,Cubura,44.81310000000008,20.46329000000003
149,Englezovac,44.81310000000008,20.46329000000003
150,Istocni Vracar,44.80135000000007,20.475730000000055
151,Gradic Pejton,44.81310000000008,20.46329000000003
