,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Ada Ciganlija,44.78734000000003,20.41627000000005,Gušti mora,44.786487714413056,20.415922848605,Seafood Restaurant
1,Ada Ciganlija,44.78734000000003,20.41627000000005,Ada Mall,44.7875776574458,20.41825961505888,Shopping Mall
2,Ada Ciganlija,44.78734000000003,20.41627000000005,Kameni grad | Stonehenge,44.788251659762985,20.41628975283479,Sculpture Garden
3,Ada Ciganlija,44.78734000000003,20.41627000000005,Coffeedream,44.787345,20.418557,Coffee Shop
4,Ada Ciganlija,44.78734000000003,20.41627000000005,Goga grill,44.78642141651337,20.416045051365213,BBQ Joint
5,Ada Ciganlija,44.78734000000003,20.41627000000005,Vozic na Adi,44.78821978557488,20.415089114362626,Moving Target
6,Azbestno Naselje,44.81310000000008,20.463290000000033,Sinnerman,44.81324726055465,20.462932754131046,Jazz Club
7,Azbestno Naselje,44.81310000000008,20.463290000000033,Kafeterija | Кафетерија,44.81285187820009,20.46301212346027,Café
8,Banovo Brdo,44.77727998889153,20.414209995528005,Athletic's Gym,44.77757333674057,20.414900211899173,Gym
9,Banovo Brdo,44.77727998889153,20.414209995528005,Balkan Hotel Garni,44.77745654466199,20.414789701512635,Hotel
10,Banovo Brdo,44.77727998889153,20.414209995528005,McDonald's,44.77762118550356,20.41406889986175,Fast Food Restaurant
11,Bele Vode,44.751906,20.402559000000007,Isidora,44.751592,20.406174,Health & Beauty Service
12,Bele Vode,44.751906,20.402559000000007,Stanica Železnički tunel,44.74959981115757,20.400521897946355,Bus Station
13,Bele Vode,44.751906,20.402559000000007,Drink Store,44.754695480093794,20.404207706451416,Liquor Store
14,Bele Vode,44.751906,20.402559000000007,"Apoteka ""Oaza Zdravlja""",44.751324,20.407309,Pharmacy
15,Careva Cuprija,44.78642000000008,20.431950000000032,Careva ćuprija,44.7862127985576,20.432195217923734,Restaurant
16,Careva Cuprija,44.78642000000008,20.431950000000032,Sportska akademija „Senjak”,44.78850849610606,20.431950158389302,Athletics & Sports
17,Careva Cuprija,44.78642000000008,20.431950000000032,Hipodrom Beograd,44.78383287507571,20.430477127387405,Racecourse
18,Careva Cuprija,44.78642000000008,20.431950000000032,Muzej afričke umetnosti,44.788764164722686,20.4351561980882,Museum
19,Careva Cuprija,44.78642000000008,20.431950000000032,Konjički sportski centar ''L'amour du cheval'',44.783844721382,20.43045860927251,Stables
20,Careva Cuprija,44.78642000000008,20.431950000000032,Topčiderac,44.78497692216841,20.43676175167405,Restaurant
21,Careva Cuprija,44.78642000000008,20.431950000000032,Restoran 27,44.7873790508644,20.43644763423114,Mediterranean Restaurant
22,Careva Cuprija,44.78642000000008,20.431950000000032,Prestige,44.78418170125057,20.433929567270958,Hotel
23,Careva Cuprija,44.78642000000008,20.431950000000032,Stadion FK BASK,44.78461541287383,20.43281149079944,Soccer Stadium
24,Careva Cuprija,44.78642000000008,20.431950000000032,Posco arena,44.783963197502416,20.434313883297555,Soccer Field
25,Careva Cuprija,44.78642000000008,20.431950000000032,Posco Residence,44.784018301962014,20.434352762799353,Hotel
26,Careva Cuprija,44.78642000000008,20.431950000000032,Restoran kovnice novca,44.783687007662124,20.434980451521934,Restaurant
27,Careva Cuprija,44.78642000000008,20.431950000000032,Strelište Careva ćuprija,44.78283822528455,20.430953332862067,Gun Range
28,Cerak,44.74769619580906,20.419112440744147,Fuerte Kids,44.74878540632664,20.416013541745922,Playground
29,Cerak,44.74769619580906,20.419112440744147,Lorenzo,44.74926159985161,20.41703794031276,Café
30,Cerak,44.74769619580906,20.419112440744147,Drink Store,44.74812,20.416952,Convenience Store
31,Cerak,44.74769619580906,20.419112440744147,Fuerte,44.749372348327576,20.4172007458691,Café
32,Cerak II,44.74769619580906,20.419112440744147,Fuerte Kids,44.74878540632664,20.416013541745922,Playground
33,Cerak II,44.74769619580906,20.419112440744147,Lorenzo,44.74926159985161,20.41703794031276,Café
34,Cerak II,44.74769619580906,20.419112440744147,Drink Store,44.74812,20.416952,Convenience Store
35,Cerak II,44.74769619580906,20.419112440744147,Fuerte,44.749372348327576,20.4172007458691,Café
36,Cerak Vinogradi,44.74769619580906,20.419112440744147,Fuerte Kids,44.74878540632664,20.416013541745922,Playground
37,Cerak Vinogradi,44.74769619580906,20.419112440744147,Lorenzo,44.74926159985161,20.41703794031276,Café
38,Cerak Vinogradi,44.74769619580906,20.419112440744147,Drink Store,44.74812,20.416952,Convenience Store
39,Cerak Vinogradi,44.74769619580906,20.419112440744147,Fuerte,44.749372348327576,20.4172007458691,Café
40,Cukarica,44.77824000000004,20.41505000000007,Che cosa,44.77790086467218,20.414484962857955,Pizza Place
41,Cukaricka Padina,44.77744005496564,20.40658004053894,Status,44.77671513411725,20.406897104179578,Pizza Place
42,Cukaricka Padina,44.77744005496564,20.40658004053894,Fanatic KIDS,44.77502256007212,20.407869345515138,Toy / Game Store
43,Cukaricka Padina,44.77744005496564,20.40658004053894,Tajvan,44.78064213293191,20.409260807305554,Chinese Restaurant
44,Cukaricka Padina,44.77744005496564,20.40658004053894,Žar Mance,44.7769787849859,20.411607039953253,BBQ Joint
45,Cukaricka Padina,44.77744005496564,20.40658004053894,Market Padina,44.776765611937805,20.406700044538187,Market
46,Cukaricka Padina,44.77744005496564,20.40658004053894,Koncho,44.77819483221462,20.40656805038452,Café
47,Filmski Grad,44.75890000000004,20.433380000000056,SquashLand,44.760868307913796,20.436418787723323,Squash Court
48,Filmski Grad,44.75890000000004,20.433380000000056,Squash Klub Beograd,44.76083849677339,20.436433023582318,Stadium
49,Filmski Grad,44.75890000000004,20.433380000000056,SRC Pionirski grad,44.760955325435255,20.436514625253203,Athletics & Sports
50,Filmski Grad,44.75890000000004,20.433380000000056,Restoran Filmski grad,44.75853253066679,20.43342661453227,Restaurant
51,Filmski Grad,44.75890000000004,20.433380000000056,Filmski bar,44.75849678082918,20.433498088915997,Bar
52,Filmski Grad,44.75890000000004,20.433380000000056,Ruska bajka,44.75727795454446,20.434701237486504,Restaurant
53,Filmski Grad,44.75890000000004,20.433380000000056,Teniski klub Privilege,44.76084355966973,20.431222915649414,Tennis Stadium
54,Filmski Grad,44.75890000000004,20.433380000000056,Balon „Pionir KMF”,44.760472360533115,20.436862207252698,Soccer Field
55,Golf Naselje,44.7709799516709,20.427690043857115,Kafanica,44.77082516141106,20.42562405782423,Eastern European Restaurant
56,Golf Naselje,44.7709799516709,20.427690043857115,Woodball House,44.76753647602021,20.42895616334483,Soccer Field
57,Golf Naselje,44.7709799516709,20.427690043857115,Magic Land,44.772614294473414,20.42331648668395,Playground
58,Golf Naselje,44.7709799516709,20.427690043857115,Golf,44.770819968351056,20.427985915875347,Restaurant
59,Julino Brdo,44.76665700000001,20.41078500000002,JYSK,44.768418248824425,20.411785974556743,Furniture / Home Store
60,Julino Brdo,44.76665700000001,20.41078500000002,Forma Ideale,44.768467038235144,20.41158765624946,Furniture / Home Store
61,Julino Brdo,44.76665700000001,20.41078500000002,Parkić Julino brdo,44.76858187416591,20.410246680574296,Park
62,Julino Brdo,44.76665700000001,20.41078500000002,Ivanina okretnica,44.768762645691766,20.41321778368099,Boat or Ferry
63,Kosutnjak,44.76515000000007,20.423220000000068,Bazeni Košutnjak,44.7645901085577,20.423992605656732,Pool
64,Kosutnjak,44.76515000000007,20.423220000000068,TK Baseline,44.76511764526367,20.42005729675293,Tennis Court
65,Kosutnjak,44.76515000000007,20.423220000000068,Satelit,44.76493401000534,20.423189551333483,Restaurant
66,Kosutnjak,44.76515000000007,20.423220000000068,Hala sportova Žarkovo,44.76160551244509,20.423215595525484,Athletics & Sports
67,Kosutnjak,44.76515000000007,20.423220000000068,Jelek,44.76688,20.41923,Comfort Food Restaurant
68,Kosutnjak,44.76515000000007,20.423220000000068,Sportski centar Košutnjak,44.76613151280595,20.418876471917173,Athletics & Sports
69,Kosutnjak,44.76515000000007,20.423220000000068,Atelje,44.766249527670645,20.423365558083024,Sandwich Place
70,Kosutnjak,44.76515000000007,20.423220000000068,Moje brdo,44.76783337110959,20.420219401728083,Café
71,Kosutnjak,44.76515000000007,20.423220000000068,Teniski klub Trim,44.766759568882186,20.42700626549056,Tennis Court
72,Makis,44.78671000000003,20.46727000000004,Pekara i roštilj Kod nas,44.78782049473569,20.465288519714893,Bakery
73,Makis,44.78671000000003,20.46727000000004,Stepin vajat,44.78653734913505,20.46700129246955,BBQ Joint
74,Makis,44.78671000000003,20.46727000000004,bar-A-bar,44.78803637007004,20.46544886304823,Bar
75,Makis,44.78671000000003,20.46727000000004,Foot,44.784797662558475,20.4663509381926,Soccer Field
76,Makis,44.78671000000003,20.46727000000004,Novi Sport,44.78732372942,20.466215114902756,Restaurant
77,Makis,44.78671000000003,20.46727000000004,KTM Racing,44.785455273146816,20.467565259703626,Motorcycle Shop
78,Makis,44.78671000000003,20.46727000000004,Palačinkarnica Premier,44.786669837447654,20.467183556477384,Creperie
79,Makis,44.78671000000003,20.46727000000004,Spomen-park Topovske šupe,44.785977598658334,20.4665207862854,Park
80,Makis,44.78671000000003,20.46727000000004,Kazablanka,44.78712664770141,20.466328760977216,Flower Shop
81,Makis,44.78671000000003,20.46727000000004,Parkić na Komandi,44.78788168468884,20.465179789969323,Park
82,Makis,44.78671000000003,20.46727000000004,Abadi | Arapin,44.78781271654168,20.46477198600769,Market
83,Novi Zeleznik,44.81310000000008,20.463290000000033,Sinnerman,44.81324726055465,20.462932754131046,Jazz Club
84,Novi Zeleznik,44.81310000000008,20.463290000000033,Kafeterija | Кафетерија,44.81285187820009,20.46301212346027,Café
85,Orlovaca,44.81310000000008,20.463290000000033,Sinnerman,44.81324726055465,20.462932754131046,Jazz Club
86,Orlovaca,44.81310000000008,20.463290000000033,Kafeterija | Кафетерија,44.81285187820009,20.46301212346027,Café
87,Repiste,44.81310000000008,20.463290000000033,Sinnerman,44.81324726055465,20.462932754131046,Jazz Club
88,Repiste,44.81310000000008,20.463290000000033,Kafeterija | Кафетерија,44.81285187820009,20.46301212346027,Café
89,Rupcine,44.81310000000008,20.463290000000033,Sinnerman,44.81324726055465,20.462932754131046,Jazz Club
90,Rupcine,44.81310000000008,20.463290000000033,Kafeterija | Кафетерија,44.81285187820009,20.46301212346027,Café
91,Stari Cerak,44.74769619580906,20.419112440744147,Fuerte Kids,44.74878540632664,20.416013541745922,Playground
92,Stari Cerak,44.74769619580906,20.419112440744147,Lorenzo,44.74926159985161,20.41703794031276,Café
93,Stari Cerak,44.74769619580906,20.419112440744147,Drink Store,44.74812,20.416952,Convenience Store
94,Stari Cerak,44.74769619580906,20.419112440744147,Fuerte,44.749372348327576,20.4172007458691,Café
95,Suncana Padina,44.81310000000008,20.463290000000033,Sinnerman,44.81324726055465,20.462932754131046,Jazz Club
96,Suncana Padina,44.81310000000008,20.463290000000033,Kafeterija | Кафетерија,44.81285187820009,20.46301212346027,Café
97,Zarkovo,44.754986932436644,20.40993849745542,Kafana Čedić,44.75627061491211,20.404968420514535,Restaurant
98,Zarkovo,44.754986932436644,20.40993849745542,Sportski centar Partizan,44.7552161192551,20.406582287505444,Tennis Stadium
99,Zarkovo,44.754986932436644,20.40993849745542,Pijaca Bele vode,44.75523515209615,20.40983466765581,Farmers Market
100,Zarkovo,44.754986932436644,20.40993849745542,Viršlomobil,44.75516955402223,20.409862434961383,Food Truck
101,Zarkovo,44.754986932436644,20.40993849745542,Grb,44.75397044352448,20.413792383681315,Diner
102,Zarkovo,44.754986932436644,20.40993849745542,Minjon D,44.754050371100774,20.41427118293829,Butcher
103,Zarkovo Selo,44.754986932436644,20.40993849745542,Kafana Čedić,44.75627061491211,20.404968420514535,Restaurant
104,Zarkovo Selo,44.754986932436644,20.40993849745542,Sportski centar Partizan,44.7552161192551,20.406582287505444,Tennis Stadium
105,Zarkovo Selo,44.754986932436644,20.40993849745542,Pijaca Bele vode,44.75523515209615,20.40983466765581,Farmers Market
106,Zarkovo Selo,44.754986932436644,20.40993849745542,Viršlomobil,44.75516955402223,20.409862434961383,Food Truck
107,Zarkovo Selo,44.754986932436644,20.40993849745542,Grb,44.75397044352448,20.413792383681315,Diner
108,Zarkovo Selo,44.754986932436644,20.40993849745542,Minjon D,44.754050371100774,20.41427118293829,Butcher
109,Zeleznik,44.81310000000008,20.463290000000033,Sinnerman,44.81324726055465,20.462932754131046,Jazz Club
